assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,was_home,yellow_cards
0,0,0,0,0,0,3,0,0,0,0,37,0,0,True,0
0,0,0,0,0,0,8,0,0,0,0,38,0,0,False,00,0,0,0,0,0,19,0,0,0,0,1,0,0,False,0
0,0,0,0,0,0,18,0,0,0,0,2,0,0,True,0
0,0,0,0,0,0,11,0,0,0,0,3,0,0,True,0
0,0,0,0,0,0,1,0,0,0,0,4,0,0,False,0
0,0,0,0,0,0,3,0,0,0,0,5,0,0,True,0
0,0,0,0,0,0,7,0,0,0,0,6,0,0,False,0
0,0,0,0,0,0,9,0,0,0,0,7,0,0,True,0
0,0,0,0,0,0,17,0,0,0,0,8,0,0,False,0
0,0,0,0,0,0,15,0,0,0,0,9,0,0,False,0
0,0,0,0,0,16,5,0,0,0,0,10,0,1,True,0
0,0,1,0,0,75,13,0,0,0,0,11,0,2,False,0
0,3,1,0,3,90,8,0,0,0,0,12,0,17,True,0
0,0,1,0,0,79,16,0,0,0,0,13,0,2,False,0
0,0,0,2,0,90,4,0,0,0,0,14,0,2,True,0
0,0,0,0,0,21,14,0,0,0,0,15,0,1,True,0
0,0,0,0,0,10,6,0,0,0,0,16,0,1,False,0
0,0,0,1,0,70,12,0,0,0,0,17,0,2,False,0
0,0,0,0,0,0,10,0,0,0,0,18,0,0,True,0
0,0,0,2,0,71,11,0,0,0,0,19,0,2,False,0
0,1,0,3,1,90,20,0,0,0,0,20,0,7,True,0
0,0,0,1,0,84,7,0,0,0,0,21,0,2,True,0
0,0,0,2,1,90,3,0,0,0,0,22,0,6,False,0
1,3,0,1,1,90,1,0,0,0,0,23,0,12,True,0
0,0,0,1,0,90,20,0,0,0,0,24,0,2,False,0
1,3,1,0,1,90,5,0,0,0,0,25,0,12,False,0
0,0,0,1,0,90,15,0,0,0,0,26,0,2,True,0
0,0,0,4,0,90,8,0,0,0,0,27,0,2,False,0
0,0,0,2,0,72,13,0,0,0,0,28,0,2,True,0
0,0,1,0,0,76,9,0,0,0,0,29,0,2,False,0
0,0,0,4,0,90,17,0,0,0,0,30,0,2,True,0
0,0,0,1,0,72,19,0,0,0,0,31,0,2,True,0
0,0,0,2,0,80,18,0,0,0,0,32,0,2,False,0
0,0,0,1,0,61,6,0,0,0,0,33,0,2,True,0
0,0,0,1,0,20,10,0,0,0,0,34,0,1,False,0
0,0,0,2,0,90,12,0,0,0,0,34,0,2,True,0
0,0,0,2,0,63,14,0,0,0,0,36,0,2,False,0
0,0,1,0,0,90,16,0,0,0,0,37,0,2,True,0
0,3,0,0,1,31,4,0,0,0,0,38,0,8,False,01,0,0,1,0,89,15,0,0,0,0,1,0,5,True,0
1,0,0,1,0,90,2,0,0,0,0,2,0,5,False,0
1,0,0,3,0,68,11,0,0,0,0,3,0,5,True,0
0,0,0,3,1,90,9,0,0,0,0,4,0,5,False,1
0,3,0,1,2,90,8,0,0,0,0,5,0,13,True,0
0,1,0,1,1,90,16,0,0,0,0,6,0,7,False,0
0,0,0,2,1,90,19,0,0,0,0,7,0,6,True,0
0,0,0,1,0,90,1,0,0,0,0,8,0,2,False,0
0,0,1,0,0,90,14,0,0,0,0,9,0,2,True,0
0,0,1,0,0,73,18,0,0,0,0,10,0,1,False,1
0,0,1,0,0,90,12,0,0,0,0,11,0,1,True,1
0,0,0,2,0,90,13,0,0,0,0,12,0,2,False,0
0,0,0,2,0,90,20,0,0,0,0,13,0,2,True,0
0,0,0,3,0,90,17,0,0,0,0,14,0,2,False,0
0,0,0,1,0,90,7,0,0,0,0,15,0,2,False,0
0,0,0,3,0,63,10,0,0,0,0,16,0,2,True,0
0,0,0,0,0,0,6,0,0,0,0,17,0,0,False,0
0,0,0,1,0,45,5,0,0,0,0,18,0,1,True,0
0,0,0,1,0,90,1,0,0,0,0,19,0,1,True,1
0,0,0,1,0,28,4,0,0,0,0,20,0,1,False,0
0,0,0,4,0,90,19,0,0,0,0,21,0,2,False,0
0,0,0,3,0,90,18,0,0,0,0,22,0,2,True,0
0,0,0,1,0,90,14,0,0,0,0,23,0,1,False,1
0,2,0,1,1,90,4,0,0,0,0,24,0,8,True,0
0,0,0,1,0,90,2,0,0,0,0,25,0,1,True,1
0,2,0,2,1,90,15,0,0,0,0,26,0,8,False,0
0,0,0,3,0,90,5,0,0,0,0,27,0,2,False,0
0,0,0,2,0,90,6,0,0,0,0,28,0,1,True,1
0,0,0,2,1,90,10,0,0,0,0,29,0,5,False,1
